undergra,undergra_cd
American University,American University
Amherst College,Amherst College
Arizona State,Arizona State
Ateneo de Manila University - Philippines,Ateneo de Manila University - Philippines
Augustana College,Augustana College
Barnard College,Barnard College
Beijing University,Beijing University
Bennington College,Bennington College
Berklee College Of Music,Berklee College Of Music
Binghamton University,Binghamton University
Biological Sciences,Biological Sciences
Bocconi University Milan,Bocconi University Milan
"Bombay, India","Bombay, India"
Boston College,Boston College
Bowdoin College,Bowdoin College
Brandeis University,Brandeis University
Brown,Brown University
Brown University,Brown University
Bucharest University,Bucharest University
Bucknell University,Bucknell University
Cagliari - Italy,Cagliari - Italy
Cal Berkeley,"University of California, Berkeley"
"Cal State Univ., Long Beach",California State University Long Beach
California State University Los Angeles,California State University Los Angeles
Cambridge University,Cambridge University
Case Western Reserve University,Case Western Reserve University
"charles university, prague, czech republic","charles university, prague, czech republic"
China,China
ChungShenMedicalUniversity(Taiwan),ChungShenMedicalUniversity(Taiwan)
"colby college, waterville, me","colby college, waterville, me"
Colgate University,Colgate University
Colorado State,Colorado State
Columbia,Columbia University
Columbia Business School,Columbia Business School
Columbia College,Columbia College
"Columbia College, CU",Columbia College
Columbia University,Columbia University
ColumbiaU,Columbia University
Connecticut College,Connecticut College
Conneticut College,Connecticut College
COOPER UNION,"Cooper Union, Bard college, and SUNY Purchase"
"Cooper Union, Bard college, and SUNY Purchase","Cooper Union, Bard college, and SUNY Purchase"
Cornell,Cornell University
Cornell University,Cornell University
CSUN,CSUN
Dartmouth College,Dartmouth College
Delhi University,Delhi University
Duquesne University,Duquesne University
"Ecole Normale SupÂŽrieure, Paris",Ecole Polytechnique (France)
ecole polytechnique,Ecole Polytechnique (France)
Ecole Polytechnique (France),Ecole Polytechnique (France)
Ecole Superieure d'Electricite,Ecole Superieure d'Electricite
Emory University,Emory University
Engineering,Engineering
Florida International University,Florida International University
Fordham University,Fordham University
"Fu Jen Catholic University, Taiwan","Fu Jen Catholic University, Taiwan"
Fudan,"Fudan University, Shanghai, China"
"Fudan University, Shanghai, China","Fudan University, Shanghai, China"
GA Tech,GA Tech
George Mason University,George Mason University
George Washington University,George Washington University
Georgetown,Georgetown University
Georgetown University,Georgetown University
GW,George Washington University
Hamilton College,Hamilton College
Hampshire College,Hampshire College
"Harbin Medical University, China","Harbin Medical University, China"
Harcourt Butler Technological Institute,Harcourt Butler Technological Institute
Harvard,Harvard University
Harvard College,Harvard University
Harvard University,Harvard University
Harvey Mudd College (Physics),Harvey Mudd College (Physics)
Hebrew University,Hebrew University
HEC FRance,HEC FRance
Holy Cross,Holy Cross College
Holy Cross College,Holy Cross College
HOWARD UNIVERSITY,HOWARD UNIVERSITY
Illinois,Illinois
"Jesus and Mary College,Delhi","Jesus and Mary College,Delhi"
John Hopkins,John Hopkins
Kettering University / GMI,Kettering University / GMI
Kunitachi College of Music (in Japan),Kunitachi College of Music (in Japan)
Lafayette College,Lafayette College
lipscomb university,lipscomb university
Loyola College,Loyola College
Loyola College in Maryland,Loyola College
"LUISS, Rome","LUISS, Rome"
Mary Baldwin College,Mary Baldwin College
marymount manhattan college,marymount manhattan college
McGill University,McGill University
medicine,medicine
Miami University,Miami University
Middlebury College,Middlebury College
MIT,MIT
Monash University - Australia,Monash University - Australia
"MSU, Russia","MSU, Russia"
"Naples, Italy","Naples, Italy"
National Taiwan University,National Taiwan University
National University of Singapore,National University of Singapore
New York University,New York University
Nirma Institute of Technology-India,Nirma Institute of Technology-India
Northwestern University,Northwestern University
Notre Dame,Notre Dame
Novosibirsk State University,Novosibirsk State University
NUS,NUS
nyu,New York University
oberlin,Oberlin College
Oberlin College,Oberlin College
Occidental College,Occidental College
Oxford,Oxford University
Oxford University,Oxford University
PACE University,PACE University
Penn State University,Penn State University
Princeton,Princeton University
Princeton U.,Princeton University
Princeton University,Princeton University
Purdue,Purdue
Queens College,Queens College
"REC, Rourkela","REC, Rourkela"
Rice,Rice University
Rice University,Rice University
"Rizvi College of Architecture, Bombay University","Rizvi College of Architecture, Bombay University"
RPI,RPI
Rutgers College,Rutgers University
Rutgers University,Rutgers University
Rutgers University - New Brunswick,Rutgers University
"S.V Regional Engineering College,India","S.V Regional Engineering College,India"
Saint Mary's College of California,Saint Mary's College of California
Santa Clara University,Santa Clara University
Sarah Lawrence College,Sarah Lawrence College
school of social sciences in uruguay,school of social sciences in uruguay
School of the Arts,School of the Arts
school overseas (need a name ?),school overseas (need a name ?)
SEAS,SEAS
Shia-Chian University,Shia-Chian University
Smith College,Smith College
SOGANG UNIVERSITY(KOREA),SOGANG UNIVERSITY(KOREA)
Southwestern University,Southwestern University
Stanford,Stanford University
Stanford University,Stanford University
SUNY Albany,SUNY Albany
SUNY Binghamton,SUNY Binghamton
SUNY Geneseo,SUNY Geneseo
SUNY Stony Brook,SUNY Stony Brook
Supaero (France),Supaero (France)
Swarthmore College,Swarthmore College
Syracuse University,Syracuse University
Taiwan University,Taiwan University
tech school,tech school
Texas A&M,Texas A&M
Texas State University,Texas State University
The American University,The American University
Tianjin University in China,Tianjin University in China
"Tokyo Woman's Christian University, Japan","Tokyo Woman's Christian University, Japan"
Trinity College,Trinity College
Tufts,Tufts University
Tufts University,Tufts University
U of  Michigan,University of Michigan
"u of southern california, economics",University of Southern California
U of Vermont,University of Vermont
"U. del Rosario, Medicine, Colombia SA","U. del Rosario, Medicine, Colombia SA"
U.C. Berkeley,"University of California, Berkeley"
UC Berkeley,"University of California, Berkeley"
UC Davis,"University of California, Davis"
UC Irvine,"University of California, Irvine"
UC Santa Cruz,"University of California, Santa Cruz"
"UC, IRVINE!!!!!!!!!","University of California, Irvine"
UCLA,"University of California, Los Angeles"
UCSB,"University of California, Santa Barbara"
UM,University of Michigan
umass,University of Massachusetts
Univ of New Mexico,University of New Mexico
Univ of Pennsylvania,University of Pennsylvania
Univ. of Bombay,University of Bombay
Univ. of Connecticut,University of Connecticut
Univeristy of Barcelona,University of Barcelona
"Univeristy of California, Davis","University of California, Davis"
Univeristy of Michigan,University of Michigan
Universidad Catolica de Chile,Universidad Catolica de Chile
Universidad de Chile,Universidad de Chile
Universidad de Costa Rica,Universidad de Costa Rica
Universidad de los Andes,Universidad de los Andes
Universidad Iberoamericana,Universidad Iberoamericana
"University of Akron, OH","University of Akron, OH"
University of Arizona,University of Arizona
University of California at Santa Barbara,"University of California, Santa Barbara"
University of California at Santa Cruz,"University of California, Santa Cruz"
University of Chicago,University of Chicago
"University of Cologne, Germany","University of Cologne, Germany"
University of Delaware,University of Delaware
University of Delhi,University of Delhi
University of Florida,University of Florida
University of Genova,University of Genova
University of Heidelberg,University of Heidelberg
University of Illinois/Champaign,University of Illinois/Champaign
University of International Business  & Economics,University of International Business  & Economics
University of Kansas,University of Kansas
University of Karlsruhe/Germany,University of Karlsruhe/Germany
"University of Maryland, and Oxford","University of Maryland, and Oxford"
University of Massachusetts-Amherst,University of Michigan
University of Michigan,University of Michigan
University of Michigan-Ann Arbor,University of Michigan
University of North Carolina at Charlotte,University of North Carolina at Charlotte
University of Oregon,University of Oregon
University of Paris,University of Paris
University of Pennsylvania,University of Pennsylvania
"University of Reading, England","University of Reading, England"
University of Rochester,University of Rochester
University of Southern California,University of Southern California
University of Tennessee,University of Tennessee
University of Texas,University of Texas
university of the philippines,university of the philippines
University of Toronto,University of Toronto
University of Vermont,University of Vermont
University of Warsaw,University of Warsaw
University of Washington,University of Washington
university of wisconsin/la crosse,university of wisconsin/la crosse
University of Wisconsin-Madison,University of Wisconsin-Madison
UNLV,UNLV
UPenn,University of Pennsylvania
UW Madison,University of Wisconsin-Madison
Vanderbilt University,Vanderbilt University
Wake Forest,Wake Forest
warsaw university,warsaw university
Washington U. in St. Louis,Washington University in St. Louis
washington university in st louis,Washington University in St. Louis
Washington University in St. Louis,Washington University in St. Louis
wellesley college,Wesleyan University
Wesleyan University,Wesleyan University
William and Mary,William and Mary
Yale,Yale University
Yale University,Yale University
Yeshiva University,Yeshiva University
